Date;Temperature
01/07/2018 17:00;304.35
11/07/2018 17:00;301.25
12/07/2018 08:00;290.05
12/07/2018 11:00;296.35
09/07/2018 02:00;295.45
09/07/2018 05:00;293.65
05/08/2018 17:00;309.15
14/08/2018 14:00;298.85
11/08/2018 02:00;289.15
24/08/2018 08:00;290.55
25/08/2018 11:00;289.25
21/08/2018 08:00;293.15
20/08/2018 11:00;296.45
15/11/2018 01:00;285.55
27/11/2018 01:00;275.95
27/11/2018 16:00;285.65
20/11/2018 07:00;273.65
01/12/2018 19:00;284.15
25/11/2018 10:00;282.85
17/09/2018 14:00;300.95
25/09/2018 08:00;282.55
22/09/2018 17:00;300.15
17/10/2018 02:00;287.55
18/10/2018 23:00;289.05
13/10/2018 23:00;294.35
11/10/2018 05:00;288.55
21/09/2018 23:00;287.85
01/10/2018 11:00;287.15
15/09/2018 02:00;286.95
15/09/2018 17:00;300.05
05/10/2018 20:00;296.05
30/12/2018 16:00;279.45
21/12/2018 07:00;284.35
27/12/2018 22:00;283.05
28/12/2018 04:00;282.25
29/12/2018 01:00;276.75
29/12/2018 13:00;273.85
31/10/2018 07:00;281.05
31/10/2018 22:00;283.75
28/10/2018 02:00;279.65
27/10/2018 11:00;281.15
29/10/2018 16:00;279.35
31/05/2018 14:00;292.05
07/06/2018 02:00;288.05
25/05/2018 23:00;292.95
29/05/2018 23:00;288.85
27/05/2018 11:00;291.95
27/05/2018 23:00;290.15
10/02/2018 22:00;279.65
27/03/2018 23:00;284.95
28/03/2018 14:00;284.95
31/03/2018 08:00;279.75
01/04/2018 20:00;287.85
02/04/2018 05:00;283.85
26/03/2018 11:00;282.95
09/03/2018 19:00;288.95
08/05/2018 23:00;287.25
26/04/2018 02:00;282.75
26/04/2018 14:00;289.45
05/05/2018 02:00;283.25
29/04/2018 17:00;285.65
30/04/2018 20:00;283.65
21/04/2018 23:00;292.95
22/04/2018 20:00;296.05
17/04/2018 20:00;296.15
18/04/2018 08:00;285.35
25/02/2018 22:00;275.75
15/05/2018 05:00;285.35
20/05/2018 11:00;293.05
11/05/2018 05:00;280.05
17/05/2018 05:00;284.45
06/08/2018 08:00;294.45
21/08/2018 14:00;303.05
22/08/2018 17:00;306.55
19/08/2018 05:00;288.85
09/01/2018 10:00;280.55
02/02/2018 13:00;280.95
03/02/2018 10:00;277.75
24/01/2018 01:00;283.95
25/01/2018 07:00;282.55
19/01/2018 01:00;283.75
19/01/2018 07:00;281.95
11/01/2018 22:00;276.35
11/01/2018 04:00;280.45
15/01/2018 04:00;279.45
05/06/2018 17:00;291.25
17/07/2018 20:00;298.25
11/07/2018 08:00;294.15
04/07/2018 02:00;292.85
15/07/2018 08:00;295.95
10/07/2018 11:00;299.85
18/07/2018 23:00;295.95
13/06/2018 02:00;290.15
13/06/2018 05:00;289.85
21/06/2018 20:00;302.45
16/03/2018 01:00;281.45
27/02/2018 19:00;273.05
03/03/2018 13:00;288.85
04/03/2018 22:00;280.25
05/03/2018 04:00;281.15
13/03/2018 01:00;281.15
09/02/2018 04:00;270.95
09/02/2018 13:00;277.85
25/07/2018 14:00;302.65
28/07/2018 23:00;292.85
01/08/2018 17:00;302.65
01/08/2018 23:00;295.45
05/08/2018 02:00;298.05
06/10/2018 08:00;284.75
27/09/2018 20:00;298.15
01/10/2018 05:00;282.55
02/10/2018 05:00;279.45
02/11/2018 01:00;284.05
30/10/2018 22:00;283.05
31/10/2018 16:00;285.05
31/10/2018 19:00;284.65
10/11/2018 22:00;285.35
11/11/2018 04:00;284.25
07/11/2018 22:00;281.35
13/12/2018 10:00;280.15
19/12/2018 07:00;281.45
17/12/2018 10:00;281.05
11/12/2018 13:00;283.25
15/10/2018 20:00;288.85
08/10/2018 08:00;285.55
09/10/2018 17:00;294.85
14/10/2018 08:00;292.15
17/10/2018 17:00;292.05
15/11/2018 22:00;286.15
17/11/2018 10:00;284.15
19/11/2018 04:00;279.75
18/09/2018 14:00;298.65
20/09/2018 20:00;296.85
15/09/2018 08:00;285.65
14/09/2018 17:00;297.95
26/10/2018 17:00;288.35
27/10/2018 17:00;284.75
29/10/2018 10:00;278.05
29/11/2018 01:00;281.25
01/12/2018 04:00;281.85
03/02/2018 04:00;275.35
10/02/2018 19:00;279.85
07/02/2018 01:00;272.65
15/08/2018 02:00;289.15
15/08/2018 08:00;288.05
23/08/2018 11:00;299.05
19/08/2018 08:00;289.15
19/08/2018 14:00;301.55
31/01/2018 07:00;280.35
23/01/2018 10:00;283.55
27/01/2018 13:00;278.85
26/01/2018 07:00;278.55
22/01/2018 01:00;285.25
02/01/2018 07:00;282.25
04/01/2018 01:00;287.65
18/01/2018 04:00;282.15
05/01/2018 19:00;283.05
08/01/2018 01:00;282.35
12/01/2018 22:00;277.85
10/01/2018 19:00;283.45
14/01/2018 10:00;279.25
24/02/2018 04:00;271.05
14/02/2018 22:00;285.85
22/02/2018 13:00;278.85
02/03/2018 04:00;282.05
02/03/2018 22:00;281.95
05/03/2018 22:00;281.05
17/03/2018 07:00;278.95
21/03/2018 16:00;282.85
27/03/2018 02:00;281.75
20/03/2018 01:00;275.05
31/03/2018 11:00;281.05
31/03/2018 17:00;282.75
12/04/2018 14:00;288.45
13/04/2018 11:00;286.75
04/04/2018 20:00;286.45
04/04/2018 23:00;284.95
05/04/2018 02:00;284.75
05/04/2018 08:00;280.75
13/04/2018 17:00;292.25
05/05/2018 17:00;297.25
27/04/2018 08:00;281.45
21/04/2018 05:00;287.75
21/04/2018 17:00;300.15
02/05/2018 02:00;277.25
08/05/2018 11:00;290.75
09/05/2018 05:00;287.35
21/05/2018 11:00;294.65
21/05/2018 23:00;291.55
18/05/2018 23:00;291.85
05/06/2018 05:00;288.55
07/06/2018 11:00;292.95
07/06/2018 17:00;296.85
09/06/2018 05:00;294.15
30/05/2018 17:00;295.85
31/05/2018 17:00;293.25
03/06/2018 23:00;292.05
28/05/2018 17:00;293.75
01/07/2018 08:00;293.75
20/06/2018 14:00;304.05
16/06/2018 14:00;293.05
23/06/2018 08:00;289.15
22/07/2018 02:00;290.75
15/07/2018 17:00;295.25
26/07/2018 17:00;305.75
08/08/2018 20:00;299.75
10/08/2018 11:00;294.65
04/08/2018 17:00;308.85
08/08/2018 05:00;291.75
10/08/2018 14:00;297.55
01/08/2018 14:00;300.05
18/08/2018 08:00;287.35
